Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
293,37,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
294,38,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
295,39,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
296,40,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1110100000001000,1
297,41,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1110100000001000,1
298,42,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1110100000001000,1
299,43,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1110100000001000,1
300,44,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1110100000001000,1
301,45,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1101000000010001,1
302,46,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1101000000010001,1
303,47,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1101000000010001,1
304,48,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1101000000010001,1
305,49,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1101000000010001,1
306,50,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1010000000100011,1
307,51,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1010000000100011,1
308,52,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1010000000100011,1
309,53,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1010000000100011,1
310,54,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1010000000100011,1
311,55,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100000001000111,1
312,56,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100000001000111,1
313,57,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100000001000111,1
314,58,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100000001000111,1
315,59,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100000001000111,1
316,60,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1000000010001110,1
317,61,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1000000010001110,1
318,62,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1000000010001110,1
319,63,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1000000010001110,1
320,64,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,1000000010001110,1
321,65,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000100011101,1
322,66,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000100011101,1
