Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/reset_0_1,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_line_out[7:0],design_1_i/spi_master_0_seg_num[0:3],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_rstb
268,12,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
269,13,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
270,14,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
271,15,1,1,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
272,16,0,1,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
273,17,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
274,18,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
275,19,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
276,20,0,1,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
277,21,0,1,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
278,22,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
279,23,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
280,24,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
281,25,0,1,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
282,26,0,1,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
283,27,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
284,28,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
285,29,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
286,30,0,1,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
287,31,0,1,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
288,32,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
289,33,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
290,34,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
291,35,0,1,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
292,36,0,1,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
293,37,0,0,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
294,38,0,0,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
295,39,0,0,0,1,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
296,40,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
297,41,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
298,42,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
299,43,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
300,44,0,0,0,0,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
301,45,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
302,46,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
303,47,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
304,48,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
305,49,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
306,50,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
307,51,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
308,52,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
309,53,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
310,54,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
311,55,0,1,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
312,56,0,1,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
